id	name	age	gender	phone
952	Ibragimov	31	M	+998 123438150
953	Karimov	30	M	+998 123438320
954	Yunusov	26	M	+998 123438332
955	Sharipov	36	M	+998 123438361
956	Azimov	38	M	+998 123438498
957	Azimov	46	M	+998 123438662
958	Zakirov	35	M	+998 123438832
959	Kurbesov	29	M	+998 123438994
960	Alimov	55	M	+998 123439146
961	Karimov	54	M	+998 123439226
962	Saidov	51	M	+998 123439392
963	Alimov	58	M	+998 123439571
964	Ibragimov	31	M	+998 123439602
965	Usmanov	54	M	+998 123439764
966	Sharipov	32	M	+998 123439937
967	Akbarova	45	W	+998 123440121
968	Yunusov	59	M	+998 123440275
969	Azimov	58	M	+998 123440365
970	Zakirov	55	M	+998 123440526
971	Yusupov	59	M	+998 123440629
972	Azimov	29	M	+998 123440675
973	Kurbanov	55	M	+998 123440862
974	Karimov	28	M	+998 123440919
975	Ibragimov	44	M	+998 123440933
976	Saidov	25	M	+998 123440984
977	Gafurov	39	M	+998 123441179
978	Karimov	59	M	+998 123441353
979	Sharipov	45	M	+998 123441370
980	Yusupov	37	M	+998 123441489
981	Zakirov	39	M	+998 123441526
982	Gafurov	40	M	+998 123441553
983	Alimov	25	M	+998 123441653
984	Karimov	22	M	+998 123441841
985	Akbarov	49	M	+998 123441995
986	Akbarov	36	M	+998 123442072
987	Alimova	51	W	+998 123442215
988	Usmanov	20	M	+998 123442299
989	Pulatov	19	M	+998 123442391
990	Saidov	41	M	+998 123442499
991	Zakirov	49	M	+998 123442537
992	Alimov	33	M	+998 123442709
993	Usmanov	59	M	+998 123442795
994	Kurbesov	53	M	+998 123442929
995	Pulatov	21	M	+998 123443057
996	Pulatov	59	M	+998 123443162
997	Gafurov	59	M	+998 123443317
998	Alimova	45	W	+998 123443415
999	Usmanov	39	M	+998 123443452
1000	Sultanov	60	M	+998 123443605
1001	Azimov	57	M	+998 123443749
1002	Sharipov	20	M	+998 123443860
1003	Umarov	57	M	+998 123443920
1004	Ibragimov	50	M	+998 123444071
1005	Usmanov	24	M	+998 123444248
1006	Sultanov	21	M	+998 123444436
1007	Zakirov	30	M	+998 123444556
1008	Karimov	50	M	+998 123444750
1009	Zakirov	55	M	+998 123444840
1010	Kurbesov	20	M	+998 123444953
1011	Umarov	55	M	+998 123444973
1012	Kurbanov	45	M	+998 123445154
1013	Rasulov	44	M	+998 123445353
1014	Umarov	55	M	+998 123445490
1015	Rasulov	28	M	+998 123445627
1016	Zakirov	32	M	+998 123445710
1017	Akbarov	40	M	+998 123445760
1018	Pulatova	30	W	+998 123445870
1019	Alimova	35	W	+998 123445893
1020	Kurbesov	48	M	+998 123446042
1021	Azimov	39	M	+998 123446206
1022	Sultanov	40	M	+998 123446328
1023	Saidov	50	M	+998 123446466
1024	Alimov	55	M	+998 123446648
1025	Alimov	56	M	+998 123446673
1026	Azimov	43	M	+998 123446765
1027	Rasulov	50	M	+998 123446886
1028	Yusupov	28	M	+998 123446939
1029	Rasulov	58	M	+998 123447022
1030	Kurbanov	42	M	+998 123447167
1031	Gafurov	30	M	+998 123447215
1032	Akbarov	48	M	+998 123447317
1033	Azimov	40	M	+998 123447434
1034	Kurbesov	24	M	+998 123447449
1035	Ibragimov	51	M	+998 123447539
1036	Sharipov	39	M	+998 123447564
1037	Yusupov	37	M	+998 123447733
1038	Karimov	41	M	+998 123447929
1039	Azimov	58	M	+998 123448054
1040	Azimov	44	M	+998 123448172
1041	Gafurov	29	M	+998 123448267
1042	Ibragimov	54	M	+998 123448363
1043	Karimov	40	M	+998 123448520
1044	Akbarov	41	M	+998 123448659
1045	Akbarov	51	M	+998 123448747
1046	Sultanova	50	W	+998 123448883
1047	Ibragimov	43	M	+998 123448901
1048	Ibragimov	46	M	+998 123448952
1049	Azimov	42	M	+998 123449151
1050	Zakirov	52	M	+998 123449165
1051	Alimov	20	M	+998 123449202
1052	Azimov	50	M	+998 123449235
1053	Yunusov	27	M	+998 123449249
1054	Sharipov	42	M	+998 123449416
1055	Zakirova	51	W	+998 123449464
1056	Rasulov	43	M	+998 123449491
1057	Azimova	42	W	+998 123449563
1058	Karimov	57	M	+998 123449682
1059	Akbarov	40	M	+998 123449774
1060	Ibragimov	41	M	+998 123449874
1061	Azimov	54	M	+998 123449976
1062	Zakirov	26	M	+998 123450103
1063	Alimov	60	M	+998 123450249
1064	Umarov	48	M	+998 123450343
1065	Karimov	55	M	+998 123450473
1066	Usmanov	45	M	+998 123450509
1067	Gafurov	55	M	+998 123450698
1068	Alimova	54	W	+998 123450765
1069	Sultanova	36	W	+998 123450783
1070	Umarov	56	M	+998 123450885
1071	Saidov	35	M	+998 123451040
1072	Sultanov	57	M	+998 123451194
1073	Yunusov	29	M	+998 123451280
1074	Umarov	27	M	+998 123451308
1075	Sharipov	28	M	+998 123451326
1076	Kurbesov	29	M	+998 123451498
1077	Ibragimov	47	M	+998 123451568
1078	Akbarov	20	M	+998 123451674
1079	Karimov	19	M	+998 123451772
1080	Saidov	58	M	+998 123451855
1081	Sharipov	35	M	+998 123452037
1082	Yunusov	23	M	+998 123452147
1083	Karimova	46	W	+998 123452340
1084	Yunusov	25	M	+998 123452505
1085	Rasulov	27	M	+998 123452529
1086	Alimov	34	M	+998 123452729
1087	Yunusov	30	M	+998 123452863
1088	Karimov	45	M	+998 123452989
1089	Pulatov	51	M	+998 123453046
1090	Sultanov	49	M	+998 123453072
1091	Karimov	48	M	+998 123453147
1092	Sultanov	57	M	+998 123453296
1093	Sharipov	26	M	+998 123453382
1094	Saidov	20	M	+998 123453434
1095	Umarov	49	M	+998 123453575
1096	Yunusov	39	M	+998 123453739
1097	Azimov	39	M	+998 123453905
1098	Alimov	26	M	+998 123453976
1099	Yunusov	39	M	+998 123454040
1100	Yunusov	56	M	+998 123454118
1101	Sultanov	20	M	+998 123454232
1102	Azimov	29	M	+998 123454312
1103	Rasulov	53	M	+998 123454383
1104	Ibragimov	26	M	+998 123454462
1105	Rasulov	27	M	+998 123454603
1106	Karimov	21	M	+998 123454709
1107	Ibragimov	57	M	+998 123454875
1108	Karimov	57	M	+998 123455053
1109	Karimov	38	M	+998 123455205
1110	Sultanov	57	M	+998 123455256
1111	Pulatov	42	M	+998 123455452
1112	Usmanova	26	W	+998 123455607
1113	Sharipov	25	M	+998 123455666
1114	Azimov	33	M	+998 123455699
1115	Kurbesova	52	W	+998 123455842
1116	Akbarov	55	M	+998 123455906
1117	Usmanov	23	M	+998 123455981
1118	Sharipov	22	M	+998 123456086
1119	Yusupov	59	M	+998 123456129
1120	Kurbanov	44	M	+998 123456282
1121	Saidov	33	M	+998 123456444
1122	Saidov	21	M	+998 123456520
1123	Kurbanov	23	M	+998 123456660
1124	Gafurov	23	M	+998 123456836
1125	Gafurova	49	W	+998 123456995
1126	Yunusov	44	M	+998 123457075
1127	Pulatov	24	M	+998 123457226
1128	Karimov	46	M	+998 123457317
1129	Alimov	39	M	+998 123457375
1130	Rasulov	21	M	+998 123457532
1131	Usmanov	41	M	+998 123457683
1132	Kurbesov	24	M	+998 123457750
1133	Sharipov	48	M	+998 123457817
1134	Zakirov	28	M	+998 123457915
1135	Yunusov	34	M	+998 123458064
1136	Azimov	34	M	+998 123458256
1137	Kurbesov	42	M	+998 123458345
1138	Sharipova	55	W	+998 123458536
1139	Zakirov	34	M	+998 123458664
1140	Azimov	24	M	+998 123458821
1141	Sultanov	39	M	+998 123458946
1142	Ibragimov	47	M	+998 123459045
1143	Sultanov	31	M	+998 123459161
1144	Umarov	32	M	+998 123459214
1145	Sultanov	31	M	+998 123459377
1146	Azimov	60	M	+998 123459478
1147	Ibragimov	55	M	+998 123459634
1148	Ibragimov	60	M	+998 123459738
1149	Karimov	40	M	+998 123459772
1150	Saidov	50	M	+998 123459904
1151	Karimov	33	M	+998 123460091
1152	Zakirova	22	W	+998 123460119
1153	Yunusov	25	M	+998 123460279
1154	Sharipova	50	W	+998 123460356
1155	Kurbanov	40	M	+998 123460537
1156	Yusupov	54	M	+998 123460671
1157	Kurbesov	31	M	+998 123460825
1158	Alimov	22	M	+998 123460947
1159	Yunusov	38	M	+998 123461009
1160	Kurbesov	23	M	+998 123461079
1161	Saidov	27	M	+998 123461265
1162	Saidov	45	M	+998 123461327
1163	Umarov	52	M	+998 123461481
1164	Azimov	53	M	+998 123461635
1165	Kurbesov	30	M	+998 123461665
1166	Zakirov	39	M	+998 123461796
1167	Pulatov	57	M	+998 123461980
1168	Sharipov	51	M	+998 123462111
1169	Azimov	24	M	+998 123462166
1170	Karimov	34	M	+998 123462199
1171	Kurbanova	44	W	+998 123462256
1172	Gafurov	53	M	+998 123462337
1173	Ibragimov	57	M	+998 123462531
1174	Azimov	57	M	+998 123462615
1175	Usmanov	55	M	+998 123462799
1176	Akbarov	32	M	+998 123462812
1177	Saidova	44	W	+998 123462939
1178	Sultanov	56	M	+998 123463022
1179	Karimov	39	M	+998 123463183
1180	Rasulov	28	M	+998 123463359
1181	Rasulov	19	M	+998 123463481
1182	Kurbesov	20	M	+998 123463642
1183	Azimov	26	M	+998 123463757
1184	Kurbanov	39	M	+998 123463791
1185	Sharipov	19	M	+998 123463918
1186	Kurbesov	57	M	+998 123464079
1187	Kurbesov	41	M	+998 123464145
1188	Akbarov	53	M	+998 123464211
1189	Alimov	19	M	+998 123464236
1190	Umarova	29	W	+998 123464395
1191	Kurbanov	57	M	+998 123464500
1192	Kurbesov	59	M	+998 123464595
1193	Zakirov	54	M	+998 123464651
1194	Umarov	25	M	+998 123464846
1195	Yunusov	39	M	+998 123464870
1196	Rasulov	44	M	+998 123465069
1197	Yusupov	50	M	+998 123465262
1198	Gafurov	29	M	+998 123465288
1199	Zakirov	33	M	+998 123465340
1200	Sultanov	40	M	+998 123465413
1201	Ibragimov	55	M	+998 123465556
1202	Umarova	43	W	+998 123465632
1203	Sharipova	49	W	+998 123465668
1204	Akbarov	60	M	+998 123465819
1205	Usmanov	54	M	+998 123466017
1206	Zakirov	24	M	+998 123466138
1207	Sultanov	23	M	+998 123466294
1208	Saidov	42	M	+998 123466424
1209	Rasulov	38	M	+998 123466520
1210	Sharipov	55	M	+998 123466620
1211	Pulatov	19	M	+998 123466667
1212	Zakirov	31	M	+998 123466763
1213	Yusupov	22	M	+998 123466815
1214	Azimov	19	M	+998 123466895
1215	Yusupov	51	M	+998 123466941
1216	Saidov	52	M	+998 123466979
1217	Gafurov	37	M	+998 123467111
1218	Gafurov	58	M	+998 123467190
1219	Akbarov	51	M	+998 123467222
1220	Rasulov	33	M	+998 123467243
1221	Usmanov	50	M	+998 123467348
1222	Alimov	26	M	+998 123467465
1223	Usmanov	59	M	+998 123467592
1224	Kurbanov	42	M	+998 123467643
1225	Gafurov	43	M	+998 123467752
1226	Usmanov	53	M	+998 123467817
1227	Rasulov	51	M	+998 123467843
1228	Saidov	51	M	+998 123467953
1229	Umarov	58	M	+998 123467971
1230	Kurbesov	26	M	+998 123467986
1231	Gafurov	58	M	+998 123468171
1232	Sharipov	53	M	+998 123468297
1233	Yusupov	25	M	+998 123468434
1234	Rasulov	33	M	+998 123468550
1235	Kurbesov	26	M	+998 123468565
1236	Saidov	45	M	+998 123468740
1237	Umarov	38	M	+998 123468923
1238	Azimova	51	W	+998 123469072
1239	Gafurov	26	M	+998 123469156
1240	Pulatova	51	W	+998 123469253
1241	Yusupova	52	W	+998 123469434
1242	Sharipov	54	M	+998 123469612
1243	Rasulov	50	M	+998 123469638
1244	Sultanov	58	M	+998 123469715
1245	Zakirov	21	M	+998 123469835
1246	Yunusov	39	M	+998 123470000
1247	Saidova	53	W	+998 123470158
1248	Umarov	28	M	+998 123470267
1249	Usmanov	28	M	+998 123470352
1250	Akbarov	54	M	+998 123470464
1251	Ibragimova	31	W	+998 123470573
1252	Azimov	45	M	+998 123470666
1253	Rasulov	19	M	+998 123470817
1254	Akbarova	54	W	+998 123470894
1255	Gafurov	30	M	+998 123470947
1256	Usmanov	43	M	+998 123471029
1257	Yusupov	22	M	+998 123471180
1258	Umarov	38	M	+998 123471193
1259	Azimov	52	M	+998 123471293
1260	Kurbanov	42	M	+998 123471479
1261	Rasulova	24	W	+998 123471611
1262	Usmanov	31	M	+998 123471724
1263	Alimov	25	M	+998 123471749
1264	Pulatov	27	M	+998 123471822
1265	Kurbesov	40	M	+998 123471844
1266	Kurbesov	35	M	+998 123471966
1267	Sultanov	28	M	+998 123472118
1268	Kurbesov	51	M	+998 123472204
1269	Azimov	55	M	+998 123472394
1270	Yunusov	49	M	+998 123472418
1271	Azimov	48	M	+998 123472525
1272	Ibragimov	26	M	+998 123472596
1273	Azimov	58	M	+998 123472736
1274	Sultanov	52	M	+998 123472787
1275	Ibragimov	44	M	+998 123472963
1276	Pulatov	57	M	+998 123472999
1277	Sultanov	47	M	+998 123473190
1278	Karimova	36	W	+998 123473331
1279	Yusupov	25	M	+998 123473455
1280	Zakirov	50	M	+998 123473471
1281	Yunusov	59	M	+998 123473523
1282	Akbarov	42	M	+998 123473704
1283	Saidov	31	M	+998 123473823
1284	Azimov	46	M	+998 123473986
1285	Azimov	42	M	+998 123474117
1286	Yunusova	48	W	+998 123474190
1287	Ibragimov	20	M	+998 123474345
1288	Umarov	58	M	+998 123474482
1289	Yusupov	20	M	+998 123474574
1290	Yunusova	45	W	+998 123474603
1291	Sharipov	51	M	+998 123474744
1292	Akbarov	54	M	+998 123474874
1293	Akbarov	33	M	+998 123474914
1294	Kurbanov	37	M	+998 123475003
1295	Yusupov	32	M	+998 123475136
1296	Usmanov	46	M	+998 123475226
1297	Karimov	25	M	+998 123475284
1298	Usmanov	30	M	+998 123475427
1299	Karimov	33	M	+998 123475521
1300	Yunusov	49	M	+998 123475602
1301	Ibragimov	51	M	+998 123475660
1302	Saidov	34	M	+998 123475700
1303	Saidov	32	M	+998 123475820
1304	Alimov	53	M	+998 123475869
1305	Pulatov	44	M	+998 123475924
1306	Umarova	27	W	+998 123475938
1307	Saidov	30	M	+998 123476027
1308	Rasulov	49	M	+998 123476221
1309	Karimov	57	M	+998 123476257
1310	Saidov	52	M	+998 123476412
1311	Ibragimov	30	M	+998 123476601
1312	Azimov	54	M	+998 123476656
1313	Azimova	23	W	+998 123476802
1314	Azimov	26	M	+998 123476862
1315	Sharipov	20	M	+998 123476918
1316	Zakirov	23	M	+998 123476940
1317	Gafurov	24	M	+998 123477036
1318	Yusupov	31	M	+998 123477199
1319	Karimov	21	M	+998 123477246
1320	Yunusov	46	M	+998 123477411
1321	Yusupov	33	M	+998 123477506
1322	Sultanov	43	M	+998 123477641
1323	Rasulov	49	M	+998 123477831
1324	Yusupov	50	M	+998 123477926
1325	Sharipov	39	M	+998 123477962
1326	Azimov	23	M	+998 123478122
1327	Usmanov	47	M	+998 123478182
1328	Umarov	55	M	+998 123478275
1329	Pulatov	44	M	+998 123478326
1330	Kurbanov	37	M	+998 123478343
1331	Sultanov	40	M	+998 123478416
1332	Rasulov	60	M	+998 123478517
1333	Sharipov	52	M	+998 123478601
1334	Saidov	30	M	+998 123478652
1335	Pulatov	29	M	+998 123478747
1336	Alimova	25	W	+998 123478881
1337	Yunusov	27	M	+998 123479050
1338	Azimov	56	M	+998 123479217
1339	Gafurov	57	M	+998 123479312
1340	Kurbesov	38	M	+998 123479345
1341	Ibragimova	40	W	+998 123479510
1342	Ibragimov	25	M	+998 123479620
1343	Yusupov	47	M	+998 123479789
1344	Rasulov	56	M	+998 123479828
1345	Umarov	22	M	+998 123479869
1346	Yunusov	53	M	+998 123480005
1347	Usmanov	27	M	+998 123480074
1348	Pulatov	27	M	+998 123480244
1349	Akbarov	57	M	+998 123480405
1350	Saidov	44	M	+998 123480487
1351	Usmanova	46	W	+998 123480506
1352	Azimov	41	M	+998 123480689
1353	Ibragimov	31	M	+998 123480747
1354	Akbarov	37	M	+998 123480912
1355	Alimov	26	M	+998 123480993
1356	Azimov	20	M	+998 123481120
1357	Alimov	27	M	+998 123481201
1358	Ibragimov	26	M	+998 123481376
1359	Kurbesov	19	M	+998 123481500
1360	Kurbanov	55	M	+998 123481627
1361	Kurbanova	26	W	+998 123481779
1362	Rasulov	19	M	+998 123481892
1363	Yusupov	48	M	+998 123482013
1364	Kurbanov	52	M	+998 123482162
1365	Rasulov	41	M	+998 123482287
1366	Kurbesov	59	M	+998 123482433
1367	Kurbesov	58	M	+998 123482539
1368	Azimov	44	M	+998 123482578
1369	Ibragimov	48	M	+998 123482700
1370	Sharipov	44	M	+998 123482753
1371	Saidov	54	M	+998 123482835
1372	Akbarova	23	W	+998 123482911
1373	Yunusov	38	M	+998 123483029
1374	Sultanov	46	M	+998 123483117
1375	Zakirov	35	M	+998 123483286
1376	Ibragimov	47	M	+998 123483317
1377	Usmanov	19	M	+998 123483515
1378	Rasulov	46	M	+998 123483710
1379	Sharipov	27	M	+998 123483807
1380	Akbarov	21	M	+998 123483863
1381	Akbarov	56	M	+998 123484028
1382	Gafurov	30	M	+998 123484197
1383	Ibragimov	45	M	+998 123484285
1384	Azimov	33	M	+998 123484470
1385	Usmanov	52	M	+998 123484523
1386	Azimov	46	M	+998 123484708
1387	Pulatov	24	M	+998 123484850
1388	Yunusov	24	M	+998 123485042
1389	Pulatov	49	M	+998 123485164
1390	Sharipov	50	M	+998 123485336
1391	Yunusova	41	W	+998 123485376
1392	Umarov	20	M	+998 123485437
1393	Rasulov	47	M	+998 123485627
1394	Pulatov	20	M	+998 123485668
1395	Alimov	42	M	+998 123485846
1396	Sultanova	41	W	+998 123485926
1397	Sultanov	20	M	+998 123485965
1398	Gafurov	56	M	+998 123486000
1399	Pulatov	24	M	+998 123486117
1400	Kurbanov	43	M	+998 123486254
1401	Zakirov	31	M	+998 123486354
1402	Sharipov	60	M	+998 123486419
1403	Kurbesov	24	M	+998 123486545
1404	Usmanov	53	M	+998 123486642
1405	Sultanov	29	M	+998 123486695
1406	Yunusov	57	M	+998 123486871
1407	Rasulov	44	M	+998 123487057
1408	Rasulov	43	M	+998 123487197
1409	Karimov	35	M	+998 123487289
1410	Gafurov	25	M	+998 123487428
1411	Sultanov	44	M	+998 123487598
1412	Usmanov	49	M	+998 123487660
1413	Yunusov	34	M	+998 123487759
1414	Umarov	54	M	+998 123487929
1415	Usmanov	32	M	+998 123487944
1416	Azimov	48	M	+998 123488129
1417	Kurbanov	43	M	+998 123488156
1418	Rasulov	28	M	+998 123488213
1419	Rasulov	49	M	+998 123488245
1420	Sharipov	44	M	+998 123488441
1421	Yunusova	48	W	+998 123488608
1422	Yusupov	36	M	+998 123488786
1423	Sharipov	49	M	+998 123488921
1424	Karimov	19	M	+998 123489053
1425	Gafurov	59	M	+998 123489140
1426	Azimov	59	M	+998 123489327
1427	Azimova	49	W	+998 123489498
1428	Yunusov	33	M	+998 123489563
1429	Ibragimov	44	M	+998 123489619
1430	Yunusova	32	W	+998 123489685
1431	Saidova	42	W	+998 123489837
1432	Sultanov	38	M	+998 123489958
1433	Yunusov	26	M	+998 123490000
1434	Yunusov	29	M	+998 123490166
1435	Kurbesov	47	M	+998 123490366
1436	Karimov	59	M	+998 123490387
1437	Alimov	50	M	+998 123490474
1438	Gafurov	38	M	+998 123490486
1439	Yusupova	23	W	+998 123490649
1440	Kurbanova	27	W	+998 123490675
1441	Kurbanov	21	M	+998 123490845
1442	Gafurov	42	M	+998 123491033
1443	Kurbesova	52	W	+998 123491169
1444	Yunusov	19	M	+998 123491243
1445	Sultanov	29	M	+998 123491280
1446	Akbarov	31	M	+998 123491450
1447	Pulatova	40	W	+998 123491591
1448	Azimova	31	W	+998 123491753
1449	Azimov	23	M	+998 123491876
1450	Yusupov	48	M	+998 123491987
1451	Kurbanov	24	M	+998 123492092
1452	Ibragimov	45	M	+998 123492144
1453	Alimov	53	M	+998 123492163
1454	Sharipov	30	M	+998 123492293
1455	Pulatov	28	M	+998 123492363
1456	Alimov	56	M	+998 123492526
1457	Yunusova	49	W	+998 123492711
1458	Karimov	49	M	+998 123492889
1459	Alimov	57	M	+998 123493079
1460	Gafurov	26	M	+998 123493270
1461	Kurbesov	46	M	+998 123493395
1462	Zakirov	57	M	+998 123493548
1463	Kurbanov	24	M	+998 123493664
1464	Yusupov	39	M	+998 123493846
1465	Kurbanov	21	M	+998 123494013
1466	Saidov	52	M	+998 123494153
1467	Kurbesova	53	W	+998 123494181
1468	Usmanov	60	M	+998 123494266
1469	Saidov	45	M	+998 123494434
1470	Yunusova	27	W	+998 123494489
1471	Gafurov	44	M	+998 123494540
1472	Yunusov	44	M	+998 123494588
1473	Rasulov	47	M	+998 123494682
1474	Zakirov	24	M	+998 123494819
1475	Azimov	53	M	+998 123494835
1476	Gafurov	51	M	+998 123494972
1477	Zakirov	26	M	+998 123495094
1478	Yusupov	59	M	+998 123495221
1479	Azimov	34	M	+998 123495235
1480	Sharipov	48	M	+998 123495303
1481	Zakirov	47	M	+998 123495390
1482	Karimov	48	M	+998 123495405
1483	Gafurov	24	M	+998 123495466
1484	Usmanov	55	M	+998 123495488
1485	Yunusova	45	W	+998 123495597
1486	Kurbesov	56	M	+998 123495686
1487	Akbarov	26	M	+998 123495781
1488	Gafurova	50	W	+998 123495881
1489	Sharipov	54	M	+998 123496063
1490	Yusupov	52	M	+998 123496115
1491	Yusupova	32	W	+998 123496268
1492	Kurbesov	59	M	+998 123496449
1493	Sharipov	32	M	+998 123496641
1494	Sultanov	58	M	+998 123496764
1495	Rasulov	19	M	+998 123496873
1496	Azimov	22	M	+998 123496938
1497	Pulatov	26	M	+998 123496955
1498	Kurbesova	47	W	+998 123497142
1499	Kurbanov	55	M	+998 123497286
1500	Azimov	40	M	+998 123497404
1501	Sultanov	26	M	+998 123497514
1502	Sharipov	51	M	+998 123497659
1503	Saidov	58	M	+998 123497853
1504	Akbarov	55	M	+998 123497974
1505	Pulatov	54	M	+998 123498090
1506	Azimov	33	M	+998 123498250
1507	Yunusov	55	M	+998 123498448
1508	Yusupov	39	M	+998 123498602
1509	Zakirov	30	M	+998 123498694
1510	Rasulov	43	M	+998 123498882
1511	Yunusov	51	M	+998 123499039
1512	Yunusov	33	M	+998 123499102
1513	Gafurov	36	M	+998 123499138
1514	Umarov	43	M	+998 123499212
1515	Sultanov	20	M	+998 123499224
1516	Zakirov	33	M	+998 123499325
1517	Yunusov	48	M	+998 123499416
1518	Gafurov	28	M	+998 123499438
1519	Alimov	43	M	+998 123499542
1520	Ibragimov	41	M	+998 123499688
1521	Azimova	43	W	+998 123499746
1522	Azimov	51	M	+998 123499859
1523	Karimov	32	M	+998 123499921
1524	Gafurov	39	M	+998 123500110
1525	Alimov	58	M	+998 123500304
1526	Umarov	32	M	+998 123500435
1527	Kurbesov	44	M	+998 123500454
1528	Sharipov	34	M	+998 123500539
1529	Usmanov	36	M	+998 123500670
1530	Ibragimov	36	M	+998 123500754
1531	Kurbanov	30	M	+998 123500948
1532	Akbarov	32	M	+998 123501075
1533	Karimov	59	M	+998 123501245
1534	Sultanov	60	M	+998 123501361
1535	Alimov	33	M	+998 123501550
1536	Pulatov	29	M	+998 123501677
1537	Saidova	44	W	+998 123501753
